id,company,title,location,source,url,posted_at,keywords,score,status,created_at,updated_at,notes
ab-d64609dd-c391-45a2-bfdb-c1bb34e8f93c,ramp,Customer Experience Agent,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d64609dd-c391-45a2-bfdb-c1bb34e8f93c,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-bca0346c-b843-4795-96df-6091f51e421b,ramp,Data Platform Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/bca0346c-b843-4795-96df-6091f51e421b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-eac8da8c-3c11-494e-810f-22ccf96991d8,ramp,Director | Product Marketing,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/eac8da8c-3c11-494e-810f-22ccf96991d8,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-c0f7c25e-0a15-4c03-991a-a2a59e363bb3,ramp,Enterprise Account Manager | Public Sector,"Washington, D.C.",ashby,https://jobs.ashbyhq.com/ramp/job/c0f7c25e-0a15-4c03-991a-a2a59e363bb3,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-e3e6c06a-65b0-4a12-a7b0-0650fb7d4d34,ramp,Experiential Field Marketing Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/e3e6c06a-65b0-4a12-a7b0-0650fb7d4d34,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b068b311-3a1d-4de8-9aba-70ec360e9df7,ramp,Field Marketing & Event Operations Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/b068b311-3a1d-4de8-9aba-70ec360e9df7,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-03408a62-ab47-443e-b920-37e629468dc6,ramp,Fraud Operations Specialist,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/03408a62-ab47-443e-b920-37e629468dc6,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-caf900ec-0107-436b-88bf-2bc24174e6b9,ramp,Fraud Risk Associate,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/caf900ec-0107-436b-88bf-2bc24174e6b9,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-4e64ab86-4e30-403b-b1b9-41dc052570ce,ramp,Frontend Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/4e64ab86-4e30-403b-b1b9-41dc052570ce,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-6cdfb25c-6d5e-4446-891b-cf666ec710a9,ramp,Growth Extern,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/6cdfb25c-6d5e-4446-891b-cf666ec710a9,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b1c190c4-3597-4ddf-a7cb-e7949da7801b,ramp,Growth Lead | Partner Acquisition,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/b1c190c4-3597-4ddf-a7cb-e7949da7801b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-e204d168-0d99-4979-a876-883dbfee2267,ramp,Head | Partner Growth,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/e204d168-0d99-4979-a876-883dbfee2267,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-a4ecdd59-e379-4841-9bd3-c3f1f86da008,ramp,Implementation Manager | Commercial,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/a4ecdd59-e379-4841-9bd3-c3f1f86da008,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-0ea43bb5-201b-4626-ae19-1d7ae3a3193f,ramp,Infrastructure Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/0ea43bb5-201b-4626-ae19-1d7ae3a3193f,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-910f3de4-8492-47ca-b55c-6cea0ab64b1a,ramp,Integrations Expert | Customer Experience,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/910f3de4-8492-47ca-b55c-6cea0ab64b1a,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-42eae3b9-548a-443b-a3fa-f949bf4c9cfa,ramp,Lead Product Manager | Travel,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/42eae3b9-548a-443b-a3fa-f949bf4c9cfa,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
